timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769407135474,553,HTTP Request - Homepage,200,OK,Thread Group 1: Basic Load 1-1,text,true,,195761,196,1,1,https://www.wikipedia.org/,403,0,349
1769407136033,401,HTTP Request - Homepage,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,195762,196,1,1,https://www.wikipedia.org/,192,0,140
1769407136435,1029,HTTP Request - Random Article,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,70138,643,1,1,https://en.wikipedia.org/wiki/Swiss_mini_gun,66,0,0
1769407136435,66,HTTP Request - Random Article-0,301,Moved Permanently,Thread Group 2: Heavy Load 2-1,text,true,,1844,215,1,1,https://www.wikipedia.org/wiki/Special:Random,66,0,0
1769407136502,462,HTTP Request - Random Article-1,302,Found,Thread Group 2: Heavy Load 2-1,text,true,,1640,214,1,1,https://en.wikipedia.org/wiki/Special:Random,462,0,159
1769407136964,500,HTTP Request - Random Article-2,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,66654,214,1,1,https://en.wikipedia.org/wiki/Swiss_mini_gun,318,0,0
1769407137465,89,HTTP Request - Homepage,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,195762,196,1,1,https://www.wikipedia.org/,41,0,0
1769407137555,1609,HTTP Request - Random Article,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,97950,643,1,1,https://en.wikipedia.org/wiki/Diogo_Carvalho,52,0,0
1769407137555,52,HTTP Request - Random Article-0,301,Moved Permanently,Thread Group 2: Heavy Load 2-1,text,true,,1844,215,1,1,https://www.wikipedia.org/wiki/Special:Random,52,0,0
1769407137607,322,HTTP Request - Random Article-1,302,Found,Thread Group 2: Heavy Load 2-1,text,true,,1640,214,1,1,https://en.wikipedia.org/wiki/Special:Random,322,0,0
1769407137929,1235,HTTP Request - Random Article-2,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,94466,214,1,1,https://en.wikipedia.org/wiki/Diogo_Carvalho,1158,0,0
1769407139164,73,HTTP Request - Homepage,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,195762,196,1,1,https://www.wikipedia.org/,48,0,0
1769407139238,1639,HTTP Request - Random Article,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,81850,656,1,1,https://en.wikipedia.org/wiki/Dumb_Dora_Discovers_Tobacco,71,0,0
1769407139238,71,HTTP Request - Random Article-0,301,Moved Permanently,Thread Group 2: Heavy Load 2-1,text,true,,1844,215,1,1,https://www.wikipedia.org/wiki/Special:Random,71,0,0
1769407139309,284,HTTP Request - Random Article-1,302,Found,Thread Group 2: Heavy Load 2-1,text,true,,1653,214,1,1,https://en.wikipedia.org/wiki/Special:Random,284,0,0
1769407139594,1283,HTTP Request - Random Article-2,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,78353,227,1,1,https://en.wikipedia.org/wiki/Dumb_Dora_Discovers_Tobacco,1263,0,0
1769407140880,69,HTTP Request - Homepage,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,195762,196,1,1,https://www.wikipedia.org/,39,0,0
1769407140950,771,HTTP Request - Random Article,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,72627,644,1,1,https://en.wikipedia.org/wiki/Israel_Holmgren,43,0,0
1769407140950,43,HTTP Request - Random Article-0,301,Moved Permanently,Thread Group 2: Heavy Load 2-1,text,true,,1844,215,1,1,https://www.wikipedia.org/wiki/Special:Random,43,0,0
1769407140994,328,HTTP Request - Random Article-1,302,Found,Thread Group 2: Heavy Load 2-1,text,true,,1641,214,1,1,https://en.wikipedia.org/wiki/Special:Random,328,0,0
1769407141322,399,HTTP Request - Random Article-2,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,69142,215,1,1,https://en.wikipedia.org/wiki/Israel_Holmgren,392,0,0
